date,hour,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
2017-11-01,17:55,1,0.056443,0.439155,0.003467,0.422915,0.414912,UP
2017-11-02,18:55,2,0.051699,0.415055,0.003467,0.422915,0.414912,UP
2017-11-03,11:55,3,0.051489,,0.003467,0.422915,0.414912,UP
2017-11-04,12:21,4,0.045485,0.314639,0.003467,0.422915,0.414912,UP
2017-11-05,12:32,5,0.042482,0.251116,0.003467,0.422915,0.414912,DOWN
2017-11-06,12:34,6,0.041161,0.207528,0.003467,0.422915,0.414912,DOWN
2017-11-07,12:33,7,0.041161,0.171824,0.003467,0.422915,0.414912,DOWN
2017-11-08,12:15,8,0.041161,0.152782,0.003467,0.422915,0.414912,DOWN
2017-11-09,12:14,9,0.041161,0.13493,0.003467,0.422915,0.414912,DOWN
2017-11-11,12:13,101,0.041161,0.140583,0.003467,0.422915,0.414912,DOWN
2017-11-12,12:12,11,0.044374,0.168997,0.003467,0.422915,0.414912,UP
2017-11-13,12:11,14,0.049868,0.212437,0.003467,0.422915,0.414912,UP
2017-11-14,12:05,16,0.051489,0.298721,0.003467,0.422915,0.414912,UP
2017-11-15,12:22,19,0.042482,0.39036,0.003467,0.422915,0.414912,DOWN
2017-11-16,12:10,29,0.040861,0.402261,0.003467,0.422915,0.414912,DOWN
2017-11-18,12:30,30,0.040711,0.462214,0.003467,0.422915,0.414912,DOWN
